,Name,Year,Height,Hometown/HS,Team,mu,sigma
265,Olivia Unnasch,So,5'9,"San Diego, Ca",Grand Canyon,25.0,8.333333333333334
266,Renee Mussler,Fr,5'8,"Clearwater, Fl",Grand Canyon,25.0,8.333333333333334
267,Taylor Jarzombek,Fr,5'4,"Austin, Tx",Grand Canyon,40.39871195535621,2.2391216233559614
268,Teagan DeFalco,Fr,,"Long Beach, Ca",Grand Canyon,25.0,8.333333333333334
269,Alex Hojnar,Sr,5'9,"Western Springs, Ill",Oregon,25.0,8.333333333333334
270,August Raskie,Jr,6'0,"Colorado Springs, Co",Oregon,40.78586492941774,2.1238521062633904
271,Brooke Van Sickle,So,5'9,"Battle Ground, Wa",Oregon,25.0,8.333333333333334
272,Jolie Rasmussen,So,6'2,"Encinitas, Ca",Oregon,25.0,8.333333333333334
273,Josie Cole,Fr,5'10,"Lafayette, Ca",Oregon,40.47002710844432,2.1604329520970493
274,Kyra Hanawahine,Fr,5'2,"Honolulu, Hi",Oregon,43.34370798477799,2.1604329520970493
